name,size,mem,bb,Entropy,testcases,duration,inputs,cls,effcls,patterns,covered,uncovered
v1-ct-seq,16,6,5,2, 6, 53, 1000, 403, 164, 0, 0, 0
v1-ct-seq,16,6,5,2, 9, 76, 1000, 98, 84, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 112, 110, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 104, 104, 0, 0, 0
v1-ct-seq,16,6,5,2, 2, 22, 1000, 299, 220, 0, 0, 0
v1-ct-seq,16,6,5,2, 13, 107, 1000, 119, 95, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 826, 476, 0, 0, 0
v1-ct-seq,16,6,5,2, 7, 60, 1000, 110, 62, 0, 0, 0
v1-ct-seq,16,6,5,2, 2, 22, 1000, 603, 345, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 30, 1000, 548, 211, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 134, 134, 0, 0, 0
v1-ct-seq,16,6,5,2, 6, 52, 1000, 72, 68, 0, 0, 0
v1-ct-seq,16,6,5,2, 5, 45, 1000, 140, 132, 0, 0, 0
v1-ct-seq,16,6,5,2, 17, 137, 1000, 162, 100, 0, 0, 0
v1-ct-seq,16,6,5,2, 2, 22, 1000, 195, 183, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 1758, 188, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 34, 1000, 439, 84, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 576, 326, 0, 0, 0
v1-ct-seq,16,6,5,2, 15, 122, 1000, 109, 91, 0, 0, 0
v1-ct-seq,16,6,5,2, 9, 79, 1000, 176, 90, 0, 0, 0
v1-ct-seq,16,6,5,2, 4, 37, 1000, 277, 133, 0, 0, 0
v1-ct-seq,16,6,5,2, 7, 64, 1000, 63, 53, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 30, 1000, 486, 272, 0, 0, 0
v1-ct-seq,16,6,5,2, 1, 14, 1000, 788, 254, 0, 0, 0
v1-ct-seq,16,6,5,2, 2, 21, 1000, 27, 27, 0, 0, 0
v1-ct-seq,16,6,5,2, 8, 71, 1000, 68, 63, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 29, 1000, 486, 178, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 30, 1000, 406, 171, 0, 0, 0
v1-ct-seq,16,6,5,2, 3, 30, 1000, 377, 160, 0, 0, 0
v1-ct-seq,16,6,5,2, 7, 60, 1000, 58, 55, 0, 0, 0
v1-ct-seq,16,6,5,3, 4, 38, 1000, 44, 44, 0, 0, 0
v1-ct-seq,16,6,5,3, 2, 22, 1000, 289, 220, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 852, 22, 0, 0, 0
v1-ct-seq,16,6,5,3, 11, 95, 1000, 437, 133, 0, 0, 0
v1-ct-seq,16,6,5,3, 3, 30, 1000, 341, 80, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 32, 32, 0, 0, 0
v1-ct-seq,16,6,5,3, 2, 22, 1000, 514, 125, 0, 0, 0
v1-ct-seq,16,6,5,3, 7, 63, 1000, 250, 41, 0, 0, 0
v1-ct-seq,16,6,5,3, 6, 53, 1000, 690, 149, 0, 0, 0
v1-ct-seq,16,6,5,3, 8, 70, 1000, 368, 166, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 1652, 260, 0, 0, 0
v1-ct-seq,16,6,5,3, 8, 68, 1000, 459, 112, 0, 0, 0
v1-ct-seq,16,6,5,3, 2, 22, 1000, 482, 380, 0, 0, 0
v1-ct-seq,16,6,5,3, 3, 30, 1000, 813, 158, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 1940, 58, 0, 0, 0
v1-ct-seq,16,6,5,3, 13, 112, 1000, 631, 134, 0, 0, 0
v1-ct-seq,16,6,5,3, 19, 155, 1000, 371, 138, 0, 0, 0
v1-ct-seq,16,6,5,3, 4, 39, 1000, 527, 82, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 1178, 392, 0, 0, 0
v1-ct-seq,16,6,5,3, 19, 157, 1000, 390, 120, 0, 0, 0
v1-ct-seq,16,6,5,3, 6, 53, 1000, 359, 173, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 510, 22, 0, 0, 0
v1-ct-seq,16,6,5,3, 2, 21, 1000, 907, 82, 0, 0, 0
v1-ct-seq,16,6,5,3, 21, 171, 1000, 411, 140, 0, 0, 0
v1-ct-seq,16,6,5,3, 4, 38, 1000, 625, 270, 0, 0, 0
v1-ct-seq,16,6,5,3, 2, 23, 1000, 420, 131, 0, 0, 0
v1-ct-seq,16,6,5,3, 13, 110, 1000, 406, 117, 0, 0, 0
v1-ct-seq,16,6,5,3, 14, 116, 1000, 407, 158, 0, 0, 0
v1-ct-seq,16,6,5,3, 22, 178, 1000, 418, 125, 0, 0, 0
v1-ct-seq,16,6,5,3, 1, 14, 1000, 662, 316, 0, 0, 0
v1-ct-seq,16,6,5,4, 21, 171, 1000, 729, 87, 0, 0, 0
v1-ct-seq,16,6,5,4, 15, 122, 1000, 720, 80, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 1046, 113, 0, 0, 0
v1-ct-seq,16,6,5,4, 16, 132, 1000, 474, 124, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 998, 11, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 1010, 138, 0, 0, 0
v1-ct-seq,16,6,5,4, 5, 46, 1000, 640, 61, 0, 0, 0
v1-ct-seq,16,6,5,4, 8, 70, 1000, 595, 114, 0, 0, 0
v1-ct-seq,16,6,5,4, 10, 84, 1000, 521, 116, 0, 0, 0
v1-ct-seq,16,6,5,4, 21, 175, 1000, 634, 103, 0, 0, 0
v1-ct-seq,16,6,5,4, 4, 38, 1000, 1172, 69, 0, 0, 0
v1-ct-seq,16,6,5,4, 6, 53, 1000, 768, 149, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 726, 128, 0, 0, 0
v1-ct-seq,16,6,5,4, 2, 21, 1000, 346, 150, 0, 0, 0
v1-ct-seq,16,6,5,4, 5, 45, 1000, 531, 133, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 552, 174, 0, 0, 0
v1-ct-seq,16,6,5,4, 2, 22, 1000, 903, 274, 0, 0, 0
v1-ct-seq,16,6,5,4, 11, 91, 1000, 517, 128, 0, 0, 0
v1-ct-seq,16,6,5,4, 9, 79, 1000, 722, 118, 0, 0, 0
v1-ct-seq,16,6,5,4, 2, 22, 1000, 964, 37, 0, 0, 0
v1-ct-seq,16,6,5,4, 10, 84, 1000, 514, 94, 0, 0, 0
v1-ct-seq,16,6,5,4, 25, 201, 1000, 620, 104, 0, 0, 0
v1-ct-seq,16,6,5,4, 18, 148, 1000, 508, 99, 0, 0, 0
v1-ct-seq,16,6,5,4, 1, 14, 1000, 1324, 270, 0, 0, 0
v1-ct-seq,16,6,5,4, 3, 30, 1000, 645, 97, 0, 0, 0
v1-ct-seq,16,6,5,4, 12, 103, 1000, 667, 127, 0, 0, 0
v1-ct-seq,16,6,5,4, 14, 116, 1000, 502, 114, 0, 0, 0
v1-ct-seq,16,6,5,4, 4, 38, 1000, 1050, 72, 0, 0, 0
v1-ct-seq,16,6,5,4, 8, 68, 1000, 658, 61, 0, 0, 0
v1-ct-seq,16,6,5,4, 8, 68, 1000, 352, 163, 0, 0, 0
v1-ct-seq,16,6,5,5, 17, 139, 1000, 730, 75, 0, 0, 0
v1-ct-seq,16,6,5,5, 1, 14, 1000, 1950, 48, 0, 0, 0
v1-ct-seq,16,6,5,5, 1, 14, 1000, 756, 200, 0, 0, 0
v1-ct-seq,16,6,5,5, 6, 53, 1000, 790, 12, 0, 0, 0
v1-ct-seq,16,6,5,5, 1, 14, 1000, 1610, 288, 0, 0, 0
v1-ct-seq,16,6,5,5, 1, 14, 1000, 78, 66, 0, 0, 0
v1-ct-seq,16,6,5,5, 13, 108, 1000, 608, 106, 0, 0, 0
v1-ct-seq,16,6,5,5, 6, 53, 1000, 818, 87, 0, 0, 0
v1-ct-seq,16,6,5,5, 4, 37, 1000, 600, 59, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 21, 1000, 1380, 63, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 22, 1000, 900, 354, 0, 0, 0
v1-ct-seq,16,6,5,5, 3, 30, 1000, 675, 13, 0, 0, 0
v1-ct-seq,16,6,5,5, 12, 102, 1000, 717, 94, 0, 0, 0
v1-ct-seq,16,6,5,5, 16, 131, 1000, 865, 60, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 22, 1000, 49, 49, 0, 0, 0
v1-ct-seq,16,6,5,5, 13, 108, 1000, 714, 60, 0, 0, 0
v1-ct-seq,16,6,5,5, 5, 45, 1000, 852, 54, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 21, 1000, 634, 32, 0, 0, 0
v1-ct-seq,16,6,5,5, 12, 99, 1000, 604, 89, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 22, 1000, 502, 151, 0, 0, 0
v1-ct-seq,16,6,5,5, 12, 99, 1000, 529, 79, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 22, 1000, 1268, 179, 0, 0, 0
v1-ct-seq,16,6,5,5, 17, 144, 1000, 657, 42, 0, 0, 0
v1-ct-seq,16,6,5,5, 6, 55, 1000, 899, 88, 0, 0, 0
v1-ct-seq,16,6,5,5, 4, 37, 1000, 1237, 12, 0, 0, 0
v1-ct-seq,16,6,5,5, 9, 75, 1000, 666, 74, 0, 0, 0
v1-ct-seq,16,6,5,5, 2, 22, 1000, 1469, 29, 0, 0, 0
v1-ct-seq,16,6,5,5, 49, 402, 1000, 694, 55, 0, 0, 0
v1-ct-seq,16,6,5,5, 4, 38, 1000, 629, 125, 0, 0, 0
v1-ct-seq,16,6,5,5, 3, 29, 1000, 1328, 5, 0, 0, 0
v1-ct-seq,16,6,5,6, 3, 29, 1000, 673, 76, 0, 0, 0
v1-ct-seq,16,6,5,6, 11, 94, 1000, 696, 65, 0, 0, 0
